# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: C:\Users\gsm3\Downloads\SD-Project-2-master\SDProject2.csv
# Generated on: Mon Jun 04 15:37:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_R25,5,B5_N0,,
,Unknown,PIN_R28,5,B5_N0,,
,Unknown,PIN_R27,5,B5_N0,,
,Unknown,PIN_R24,5,B5_N0,,
,Unknown,PIN_R23,5,B5_N0,,
,Unknown,PIN_R22,5,B5_N0,,
,Unknown,PIN_R21,5,B5_N0,,
,Unknown,PIN_P21,5,B5_N0,,
,Unknown,PIN_Y28,5,B5_N0,,
,Unknown,PIN_Y27,5,B5_N0,,
,Unknown,PIN_J28,6,B6_N2,,
,Unknown,PIN_J27,6,B6_N2,,
,Unknown,PIN_P24,6,B6_N2,,
,Unknown,PIN_N22,6,B6_N2,,
,Unknown,PIN_P23,6,B6_N2,,
,Unknown,PIN_M22,6,B6_N2,,
,Unknown,PIN_P22,6,B6_N2,,
,Unknown,PIN_M23,6,B6_N2,,
,Unknown,PIN_P26,6,B6_N2,,
,Unknown,PIN_P25,6,B6_N2,,
,Unknown,PIN_M24,6,B6_N2,,
,Unknown,PIN_N21,6,B6_N2,,
,Unknown,PIN_P28,6,B6_N2,,
,Unknown,PIN_P27,6,B6_N2,,
,Unknown,PIN_N26,6,B6_N2,,
,Unknown,PIN_N25,6,B6_N2,,
,Unknown,PIN_M28,6,B6_N2,,
,Unknown,PIN_M27,6,B6_N2,,
,Unknown,PIN_M26,6,B6_N2,,
,Unknown,PIN_M25,6,B6_N2,,
,Unknown,PIN_L28,6,B6_N2,,
,Unknown,PIN_L27,6,B6_N2,,
,Unknown,PIN_L24,6,B6_N2,,
,Unknown,PIN_L23,6,B6_N1,,
,Unknown,PIN_K28,6,B6_N1,,
,Unknown,PIN_K27,6,B6_N1,,
,Unknown,PIN_L26,6,B6_N1,,
,Unknown,PIN_J26,6,B6_N1,,
,Unknown,PIN_J25,6,B6_N1,,
,Unknown,PIN_G28,6,B6_N1,,
,Unknown,PIN_G27,6,B6_N1,,
,Unknown,PIN_M21,6,B6_N1,,
,Unknown,PIN_L25,6,B6_N1,,
,Unknown,PIN_K26,6,B6_N1,,
,Unknown,PIN_K25,6,B6_N1,,
,Unknown,PIN_F28,6,B6_N1,,
,Unknown,PIN_F27,6,B6_N1,,
,Unknown,PIN_E28,6,B6_N1,,
,Unknown,PIN_E27,6,B6_N1,,
,Unknown,PIN_H26,6,B6_N1,,
,Unknown,PIN_H25,6,B6_N1,,
,Unknown,PIN_E26,6,B6_N1,,
,Unknown,PIN_F26,6,B6_N1,,
,Unknown,PIN_D28,6,B6_N0,,
,Unknown,PIN_D27,6,B6_N0,,
,Unknown,PIN_C27,6,B6_N0,,
,Unknown,PIN_D26,6,B6_N0,,
,Unknown,PIN_L22,6,B6_N0,,
,Unknown,PIN_L21,6,B6_N0,,
,Unknown,PIN_J24,6,B6_N0,,
,Unknown,PIN_J23,6,B6_N0,,
,Unknown,PIN_K22,6,B6_N0,,
,Unknown,PIN_K21,6,B6_N0,,
,Unknown,PIN_H24,6,B6_N0,,
,Unknown,PIN_H23,6,B6_N0,,
,Unknown,PIN_G26,6,B6_N0,,
,Unknown,PIN_G25,6,B6_N0,,
,Unknown,PIN_J22,6,B6_N0,,
,Unknown,PIN_F25,6,B6_N0,,
,Unknown,PIN_F24,6,B6_N0,,
,Unknown,PIN_G24,6,B6_N0,,
,Unknown,PIN_G23,6,B6_N0,,
,Unknown,PIN_H22,6,B6_N0,,
,Unknown,PIN_J21,,,,
,Unknown,PIN_H20,,,,
,Unknown,PIN_J20,,,,
,Unknown,PIN_C26,7,B7_N0,,
,Unknown,PIN_B26,7,B7_N0,,
,Unknown,PIN_D22,7,B7_N0,,
,Unknown,PIN_E22,7,B7_N0,,
,Unknown,PIN_A26,7,B7_N0,,
,Unknown,PIN_A25,7,B7_N0,,
,Unknown,PIN_B25,7,B7_N0,,
,Unknown,PIN_E21,7,B7_N0,,
,Unknown,PIN_F22,7,B7_N0,,
,Unknown,PIN_D25,7,B7_N0,,
,Unknown,PIN_C25,7,B7_N0,,
,Unknown,PIN_A23,7,B7_N0,,
,Unknown,PIN_B23,7,B7_N0,,
,Unknown,PIN_D23,7,B7_N0,,
,Unknown,PIN_C23,7,B7_N0,,
,Unknown,PIN_C24,7,B7_N0,,
,Unknown,PIN_D24,7,B7_N0,,
,Unknown,PIN_C22,7,B7_N0,,
,Unknown,PIN_D21,7,B7_N0,,
,Unknown,PIN_C21,7,B7_N0,,
,Unknown,PIN_A22,7,B7_N1,,
,Unknown,PIN_B22,7,B7_N1,,
,Unknown,PIN_A21,7,B7_N1,,
,Unknown,PIN_B21,7,B7_N1,,
,Unknown,PIN_C18,7,B7_N1,,
,Unknown,PIN_D18,7,B7_N1,,
,Unknown,PIN_C20,7,B7_N1,,
,Unknown,PIN_D20,7,B7_N1,,
,Unknown,PIN_E24,7,B7_N1,,
,Unknown,PIN_E25,7,B7_N1,,
,Unknown,PIN_C19,7,B7_N1,,
,Unknown,PIN_D19,7,B7_N1,,
,Unknown,PIN_G17,7,B7_N1,,
,Unknown,PIN_C17,7,B7_N1,,
,Unknown,PIN_D17,7,B7_N1,,
,Unknown,PIN_A19,7,B7_N1,,
,Unknown,PIN_B19,7,B7_N1,,
,Unknown,PIN_A18,7,B7_N1,,
,Unknown,PIN_B18,7,B7_N1,,
,Unknown,PIN_G20,7,B7_N1,,
,Unknown,PIN_G21,7,B7_N1,,
,Unknown,PIN_H21,7,B7_N2,,
,Unknown,PIN_G22,7,B7_N2,,
,Unknown,PIN_J17,7,B7_N2,,
,Unknown,PIN_G18,7,B7_N2,,
,Unknown,PIN_G16,7,B7_N2,,
,Unknown,PIN_H17,7,B7_N2,,
,Unknown,PIN_F17,7,B7_N2,,
,Unknown,PIN_E17,7,B7_N2,,
,Unknown,PIN_G15,7,B7_N2,,
,Unknown,PIN_J16,7,B7_N2,,
,Unknown,PIN_H16,7,B7_N2,,
,Unknown,PIN_C16,7,B7_N2,,
,Unknown,PIN_D16,7,B7_N2,,
,Unknown,PIN_A17,7,B7_N2,,
,Unknown,PIN_B17,7,B7_N2,,
,Unknown,PIN_H15,7,B7_N2,,
,Unknown,PIN_J15,7,B7_N2,,
,Unknown,PIN_F15,7,B7_N2,,
,Unknown,PIN_E15,7,B7_N2,,
,Unknown,PIN_C15,7,B7_N2,,
